67,0,0,"037.16",18
65,0,0,"040.50",15
61,0,0,"040,97",13
54,2,0,"034.57",12
62,1,1,"DIS",0
63,0,0,"DIS",0
56,0,1,"DIS",0
49,0,0,"DIS",0
53,2,2,"DIS",0
55,5,0,"DIS",0
48,0,0,"DIS",0
57,0,0,"DIS",0
